N°,Location,Latitude,Longitude,Date (Gregorian Calendar),Hour (local),Hour (UTC),Sound,Hail,Electric Storm,Damage,Tornado,Waterspout,Register,Max. EF Rating,Analyst,Fatalities,Injured,Link to Documents,Sources,Comments,Reported to CIMA database
1,Carahue (ex- Imperial),"-38,70795725","-73,16012081",1554-05-03,,,1,1,1,1,1,0,0,0*,JV,-,-,"1554 23 de Abril, Carahue",La Araucana / Link Doc Canto 15 comments,The date corresponds to April 23rd 1554 in the Julian Calendar and this is the date reported by Ercilla. Here we transform the date to the Gregorian calendar for a better comparison with present date events. ,
2,Carelmapu,"-41,75","-73,707",1633-05-14,7:00:00,12:00:00,1,1,1,1,1,0,0,2,JV,-,1,"1633 14 de Mayo, Carelmapu",Fragmento Historica Relacion del Reyno de Chile por Alonso de Ovalle (Capitulo XXII),Complete destruction of homes and wooden church. Trees uprooted. Beach stones displaced. Hail the size of musket balls (approximately 2.5 cm in diameter). 1 person injured. Possible EF2.,
3,Parral,,,1835-02-26,,,1,1,1,1,1,0,0,1,JV,-,-,"1835 26 de febrero, Parral","Tornado observado luego de un terremoto de grandes proporciones, que ya habia generado graves danos. Se observo granizo del tamano de una nuez o avellana (1.5-2.0 cm). Dano en arboles y destruccion completa de un lagar (lugar donde se hace el aceite). Danos parecen indicar un EF1.","The exact date of the tornado is not known, as it occurred during the 6-day storm period after the earthquake of March 20, 1835.",
4,Lebu,"-37,5991","-73,6591",1878-06-11,17:00:00,22:00:00,1,1,1,1,1,0,0,0*,JV,-,-,"1878 11 y 14 Junio, Lebu",,Tornado described as 'violent' and moving from northwest to southeast. No description of damage to structures (EF0**).,
5,Lebu,"-37,5991","-73,6591",1878-06-14,15:00:00,20:00:00,0,0,0,1,1,0,0,0,JV,-,-,"1878 11 y 14 Junio, Lebu",,"Tornado was associated with a loud noise, affecting a population with roofs being blown off. Possible EF0.",
6,Valdivia,"-39,81136477","-73,24217001",1881-04-26,15:50:00,20:30:00,1,0,1,1,1,0,0,3,JV,-,-,"1881 26 Abril, Valdivia",,"Presence of hail precedes the tornado. Tornado affected several sectors of the city and descriptions indicate deafening noise. Witnesses describe that the tornado had a diameter of almost a block (100 meters). Destroyed brewery buildings (two completely destroyed and others severely damaged). The quartermaster's building (made of wood) was removed from its foundations and moved about 5 meters from its original position, suffering irreversible damage. Irreversible damage to the city church. The church tower (including the clock and bell) was knocked out of place and moved by the tornado towards the plaza. Trees uprooted. Complete blowing off of house roofs. Possible EF2-EF3.",
7,Santiago,"-33,38112231","-70,61982181",1893-05-14,,,0,0,0,1,1,0,0,1,RR,,,"1893 14 Mayo, Santiago",,,
8,Nueva Imperial ,"-38,73958293","-72,9520826",1893-05-16,16:00:00,21:00:00,0,0,0,1,1,0,0,,,,,"1893 16 Mayo, Nueva Imperial ",,,
9,Ancud,"-41,87024692","-73,82837611",1927-06-07,21:15:00,2:00:00,0,0,0,1,1,0,0,,,,,"1927, 7 Junio, Ancud",,,
10,Concepción,"-36,82726936","-73,05011189",1934-05-27,4:30:00,8:30:00,1,0,0,1,0,1,0,,,,,"1934, 27 de Mayo, Concepción",http://www.plataformaurbana.cl/archive/2012/08/15/archivo-fotografico-tornado-en-concepcion-1934/,,
11,Puerto Saavedra,"-38,79762406","-73,4015797",1934-05-29,0:00:00,4:00:00,1,0,0,1,1,1,0,,,,,"1934 29 de Mayo, Puerto Saavedra","New York Times, May 30 1934",,
12,Isla Quiriquina-Concepción,,,1961-06-02,,,0,0,0,1,1,1,0,,,,,"1961, 2 de junio, Isla Quiriquina-Concepción","Libro ""Catástrofes de Chile: 1541-1992""",,
13,Linares,"-35,8441","-71,5911",1962-06-27,10:00:00,14:00:00,0,1,1,1,1,1,0,,,,,"1962 27 Junio, Linares","Libro ""Catástrofes de Chile: 1541-1992""",,
14,Los Ángeles,"-37,449233","-72,336948",1975-07-08,14:00:00,18:00:00,0,0,0,1,1,0,0,,,,,"1975 08 Julio, Los Angeles","Libro ""Catástrofes de Chile: 1541-1992""",,
