UniqueID,Location,Latitude,Longitude,Date (Gregorian Calendar),Hour (UTC),Tornado,Waterspout,Max. EF Rating,Fatalities,Injured,Region,Comune
CL0001,Carahue (ex- Imperial),-38.7079572518935,-73.1601208083232,1554-05-03,NaT,1,0.0,0,-,-,CL-AR,carahue
CL0108,Angol (ex Los Infantes),-37.6581,-72.7087,1575-12-25,NaT,1,0.0,1,,,CL-AR,angol
CL0109,Angol (ex Los Infantes),-37.6581,-72.7087,1577-02-04,NaT,1,0.0,,,,CL-AR,angol
CL0002,Carelmapu,-41.75,-73.707,1633-05-14,12:00:00,1,0.0,2,-,1,CL-LL,maullin
CL0003,Parral,-36.14311,-71.82605,1835-02-26,NaT,1,0.0,1,-,-,CL-ML,parral
CL0004,Morro Gonzalo (Valdivia),-39.9167,-73.65,1868-06-07,12:45:00,0,1.0,,,,Not found,Not found
CL0005,Ancud,-41.8702469236067,-73.8283761097985,1872-04-20,NaT,0,1.0,,,,CL-LL,ancud
CL0006,Lebu,-37.599136119778,-73.6591194507573,1878-06-11,22:00:00,1,0.0,0*,-,-,CL-BI,lebu
CL0007,Lebu,-37.599136119778,-73.6591194507573,1878-06-14,20:00:00,1,0.0,0,-,-,CL-BI,lebu
CL0008,Valdivia,-39.8113647703531,-73.2421700094018,1881-04-26,20:30:00,1,0.0,3,3,1,CL-LR,valdivia
CL0009,Santiago,-33.3811223103291,-70.619821814293,1893-05-14,NaT,1,0.0,0,0,0,CL-RM,huechuraba
CL0010,Nueva Imperial,-38.7395829275948,-72.9520826048251,1893-05-16,21:00:00,1,0.0,,,,CL-AR,nueva imperial
CL0011,Ancud,-41.8702469236067,-73.8283761097985,1927-06-07,02:00:00,1,0.0,2,1,>1,CL-LL,ancud
CL0012,Concepción,-36.8272693629797,-73.0501118856763,1934-05-27,08:30:00,0,1.0,3,27,599,CL-BI,concepcion
CL0013,Puerto Saavedra,-38.797624064584,-73.4015796962771,1934-05-29,04:00:00,1,1.0,,,,CL-AR,saavedra
CL0014,Linares,-35.849,-71.5992,1934-06-03,15:05:00,1,0.0,1,-,,CL-ML,linares
CL0110,Concepción,-36.8201,-73.0444,1936-06-22,07:00:00,1,0.0,1,,,CL-BI,concepción
CL0101,VIña del Mar,-33.019504199033,-71.5673596682979,1941-06-13,22:00:00,0,1.0,0,0,0,CL-VS,viña del mar
CL0102,Ancud,-41.8785956653397,-73.8922703963844,1952-05-18,14:35:00,1,1.0,1,0,6,CL-LL,ancud
CL0015,Isla Quiriquina-Concepción,-36.625917,-73.059923,1961-06-02,17:30:00,1,1.0,2,-,-,CL-BI,talcahuano
CL0017,Chillan (Cato),-36.5357848753026,-71.9977285329304,1962-07-27,NaT,1,0.0,,0,,CL-NB,chillan
CL0016,Linares,-35.8440693494848,-71.5910617546228,1962-07-27,14:00:00,1,1.0,2,0,>0,CL-ML,linares
CL0018,Los Ángeles,-37.449233,-72.336948,1975-07-10,18:00:00,1,0.0,3,0,0,CL-BI,los angeles
CL0019,Valdivia,-39.8199945813283,-73.2321510770993,1981-05-17,16:00:00,1,0.0,1,0,0,CL-LR,valdivia
CL0020,San Carlos,-36.4250130721276,-71.958448492409,1981-05-18,14:00:00,1,0.0,3,2,323,CL-NB,san carlos
CL0021,Valparaíso,-33.048301948194,-71.5988247949241,1991-06-19,14:30:00,1,0.0,1,0,2,CL-VS,valparaiso
CL0100,Chinquihue,-41.5058796082189,-72.99633617146829,2000-11-02,17:00:00,1,1.0,0,0,0,,
CL0022,"Volcán Osorno, Ensenada",-41.1573146234944,-72.4937454692987,2005-02-22,09:30:00,1,0.0,0*,0,0,CL-LL,puerto varas
CL0023,Puerto Montt,-41.4742932782384,-72.9525256288981,2006-05-15,NaT,1,0.0,1,0,1,CL-LL,puerto montt
CL0024,Arauco,-37.24,-73.319,2007-06-21,00:00:00,1,1.0,1,0,0,CL-BI,arauco
CL0025,Caleta Amargos-Corral,-39.87509,-73.42555,2008-08-26,02:00-06:00,0,1.0,0,0,1,Not found,Not found
CL0027,Tomé-Lirquen,-36.7043425378487,-72.9937300540057,2010-06-14,13:30:00,0,1.0,0*,0,0,Not found,Not found
CL0026,Vegas del Itata,-36.3992510042731,-72.8540454766737,2010-06-14,15:30:00,1,1.0,1,0,0,CL-NB,coelemu
CL0028,Ancud,-41.873,-73.805,2011-04-12,21:30:00,1,0.0,1,0,0,CL-LL,ancud
CL0029,Villarrica,-39.281,-72.226,2011-06-07,19:30:00,1,0.0,2,4,7,CL-AR,villarrica
CL0030,San Carlos,-36.42,-71.962,2013-05-31,15:20:00,1,0.0,1,0,2,CL-NB,san carlos
CL0031,Camino Perdido-Loncoche,-39.391912467499,-72.660404594159,2014-06-04,NaT,1,0.0,1,0,1,CL-AR,loncoche
CL0032,Puerto Montt (Sector Lagunillas),-41.447,-73.022,2015-06-01,19:30:00,1,1.0,0,0,0,CL-LL,puerto montt
CL0033,Lago Llanquihue,-41.217,-72.883,2015-06-03,20:28:00,0,1.0,0*,0,0,CL-LL,puerto varas
CL0034,Tirúa,-38.341568,-73.494404,2015-07-05,18:00:00,0,1.0,0,0,0,CL-BI,tirua
CL0035,Quidico,-38.242832,-73.47609,2015-07-05,19:00-22:00,1,1.0,0,0,0,CL-BI,tirua
CL0036,Tres Esquinas de Cato (al norte de Coihueco),-36.54386,-71.7807693,2015-08-08,06:00:00,1,0.0,1,0,0,CL-NB,coihueco
CL0037,Vilcún (S. rural Curaco en la ruta a Codinhue - Al Noreste de Temuco),-38.407,-72.307,2016-07-11,20:00:00,1,0.0,1,0,0,CL-AR,perquenco
CL0038,Curiñanco (Valdivia),-39.739,-73.411,2016-08-17,14:50:00,0,1.0,0*,0,0,Not found,Not found
CL0039,Toltén,-39.226,-73.204,2016-08-17,21:00:00,1,1.0,2,0,1,CL-AR,tolten
CL0040,Lago Villarica,-39.257,-72.102,2017-01-09,NaT,0,1.0,0*,0,0,CL-AR,villarrica
